artist,title,genre,cluster,track_index,nn_distance
catz_n_dogz,fine_feeling_feat_robert_owens,vibe_h_catz,21,152,10.616870756748522
richy_ahmed,the_drums_feat_kevin_knapp,tech_house_bouncy,21,153,9.777601671510336
jamie_jones,under_my_control_original_mix,tech_house_dark,21,154,3.0152257659925694
jamie_jones,under_my_control,house_dark,21,155,10.262548583149767
instinct_uk,someone,drum_n_bass,21,156,10.884120747293201
justin_jay_elliot_adamson,send_it_original_mix,vibe_th_stroke,21,157,9.915158015161072
format_b,piano_man,vibe_th_format,21,158,11.381373799919881
franky_rizardo,im_feelin,techno_wobble,21,159,10.42225089515964
zagar,eastern_sugar_steve_mill_dub_mix,techno_funky,21,160,9.967339423241691
mousse_t,more_i_get,vibe_g_mousse,21,161,11.415593097352513
logic,the_warning_richy_ahmed_remix,tech_house_groovy,21,162,11.736582385623517
mood_ii_swing,move_me_alternative_mix,groovy_funk,21,163,12.267721019804203
princess_di,who_s_dick_is_this_sqim_ghetto_mix,groovy_funk,21,164,11.71576629207999
dense_and_pika,colt,chill_techno,21,165,14.025389573058142
stefano_noferini,the_place_original_mix,house_euphoric,21,166,10.441324076380411
green_velvet,la_la_land_original_mix,vibe_th_velvet,21,167,11.983306341099528
todd_terry_feat_limelife,baby_you_can_reach_original_acetate_mix,groovy_classic,21,168,11.853284769918714
kolombo,it_s_gettin_hot,vibe_th_stroke,21,169,11.021134284006628
kettama,raw_cuts,tech_house_pop,21,170,11.5931767308166
route_94,house_amp_pressure,tech_house_euphoric,21,171,12.135503412157961
blaze,my_beat_feat_palmer_brown_solid_groove_dub,tech_house_funky,21,172,12.90285734956286
ninjaman,weed_wid_da_macka_modeselektor_mix,drum_n_bass,21,173,15.1045040848759
mr_oizo,flat_beat,classic_electronic,21,174,14.547765596210343
low_steppa_bot,this_is_original_mix,bass_house_deep,22,175,7.806072233098107
khainz,ice,techno_bouncy,22,176,6.636535927585708
format_b,hot_rod,vibe_th_format,22,177,8.138359310801533
chlo_robinson,pax_four_tet_remix,tech_house_new,22,178,8.501304971352122
phlegmatic_dogs,keepmastik_original_mix,bass_house_energetic,22,179,2.2806431893450334
phlegmatic_dogs,keepmastik,techno_wobble,22,180,6.959685844183602
walker_royce,rub_anotha_dub_feat_green_velvet_j_phlip_remix,vibe_th_topping,22,181,7.836414440360756
cloverdale,floresta,tech_house_new,22,182,8.165376791710846
ruben_mandolini,freezer,tech_house_funky,22,183,7.079892377009265
shiba_san,hard_day,vibe_th_shiba,22,184,7.398005463081973
jansons,mode_richy_ahmed_remix,techno_groovy,22,185,8.048008998424061
retromigration,flying_lotus,groovy_jazz,22,186,8.704797606422225
armand_van_helden,work_me_gadamit_96,house_chicago,22,187,7.8875730466739675
purple_disco_machine,yo_original_mix,groovy_funk,22,188,6.889284962621327
teenage_mutants,barb_s,chill_groovy,22,189,7.33456406759935
gregory_porter,liquid_spirit_claptone_remix,groovy_soul,22,190,6.917197123408589
justin_jay,you_give_me_butterflies_original_mix,house_trippy,22,191,8.512619740589658
foo_funkers_jonk_spook,what_u_wanna_do_original_mix,groovy_funk,22,192,8.199195845969912
destructo,bassface_golf_clap_remix_golf_clap_remix,bass_house_tech,22,193,7.849688726202388
black_v_neck,bounce_music_original_mix,vibe_th_walker,22,194,8.01601742190503
juliet_sikora,larrys_garage,groovy_soul,22,195,8.496648600347758
lux_groove,gee_up,tech_house_groovy,22,196,8.352391591533966
shiba_san,okay,vibe_th_shiba,22,197,8.341646569250747
darius_syrossian,bull_stomp_original_mix,tech_house_rolling,22,198,9.258295060270624
ronnie_spiteri,acid_lights_darius_syrossian_remix,vibe_th_brown,22,199,8.694790752842321
justin_martin,the_gurner_mason_maynard_remix,vibe_h_martin,22,200,7.038515346276481
black_caviar,you_ain_t_gotta_bounce_to_this_lean,tech_house_new,22,201,8.582100020930291
nenor,how_can_i_be_free,tech_house_new,22,202,8.594332379623983
hot_since_82,like_you_audiojack_ruff_cut,vibe_bh_steppa,22,203,8.379083402406232
